Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
BST1	BBS4	AKR1D1	AKIRIN2
BTAF1	BBS5	AKR1E2	AKNA
BTBD9	BBS7	AKR7A2	AKNAD1
BTC	BBS9	AKR7A3	AKR1A1
BTD	BCAM	AKR7L	AKR1B1
BTK	BCAN	AKT1	AKR1B10
BTLA	BCAP31	AKT1S1	AKR1B15
BTN1A1	BCAT1	AKT2	AKR1C1
BTN2A1	BCAT2	AKT3	AKR1C2
BTNL2	BCHE	AKTIP	AKR1C3
BTRC	BCKDHA	ALAD	AKR1C4
BUB1B	BCKDHB	ALAS1	AKR1C8P
C10orf11	BCKDK	ALAS2	AKR1D1
C10orf137	BCL10	ALB	AKR1E2
C10orf2	BCL11A	ALCAM	AKR7A2
C12orf10	BCL11B	ALDH16A1	AKR7A3
C12orf57	BCL2	ALDH18A1	AKR7L
C12orf65	BCL2A1	ALDH1A1	AKT1
C19orf12	BCL2L11	ALDH1A2	AKT1S1
C1GALT1	BCL2L2	ALDH1A3	AKT2
C1QA	BCL2L2-PABPN1	ALDH1B1	AKT3
C1QB	BCL3	ALDH1L1	AKTIP
C1QC	BCL6	ALDH1L1-AS1	ALAD
C1QTNF5	BCL9	ALDH1L2	ALAS1
C1R	BCMO1	ALDH2	ALAS2
C1S	BCOR	ALDH3A1	ALB
C2	BCORL1	ALDH3A2	ALCAM
C2orf71	BCR	ALDH3B1	ALDH16A1
C3	BCS1L	ALDH3B2	ALDH18A1
C3AR1	BDKRB2	ALDH4A1	ALDH1A1
C4A	BDNF	ALDH5A1	ALDH1A2
C4B	BDNF-AS	ALDH6A1	ALDH1A3
C4BPA	BDP1	ALDH7A1	ALDH1B1
C5	BEAN1	ALDH8A1	ALDH1L1
C5AR2	BEST1	ALDH9A1	ALDH1L1-AS1
C5orf42	BEX4	ALDOA	ALDH1L1-AS2
C6	BFSP1	ALDOB	ALDH1L2
C6orf15	BFSP2	ALDOC	ALDH2
C7	BHLHA9	ALG1	ALDH3A1
C7orf10	BHLHE41	ALG10	ALDH3A2
C8A	BHMT	ALG10B	ALDH3B1
C8B	BHMT2	ALG11	ALDH3B2
C8orf37	BICC1	ALG12	ALDH4A1
C9	BICD1	ALG13	ALDH5A1
